Energy	p(K=0)	p(K=1)	p(K>=2)
-0.1928	0.0	0.0	1.0
-0.2256	0.0	0.0	1.0
-1.192	1.0	0.0	0.0
-0.976	1.0	0.0	0.0
-0.518	0.5238095238095238	0.047619047619047616	0.42857142857142855
-1.7236	1.0	0.0	0.0
-0.9096	1.0	0.0	0.0
-0.7468	1.0	0.0	0.0
-1.5472	1.0	0.0	0.0
-0.9736	1.0	0.0	0.0
-1.8676	1.0	0.0	0.0
-0.6456	1.0	0.0	0.0
-1.0012	1.0	0.0	0.0
-1.7232	1.0	0.0	0.0
-0.2792	0.0	0.0	1.0
-0.3088	0.0	0.0	1.0
-0.7768	1.0	0.0	0.0
-0.8156	0.8333333333333334	0.0	0.16666666666666666
-1.6212	1.0	0.0	0.0
-1.0568	1.0	0.0	0.0
-1.0244	1.0	0.0	0.0
-0.9772	1.0	0.0	0.0
-0.8528	1.0	0.0	0.0
-0.6312	0.875	0.125	0.0
-0.2796	0.0	0.0	1.0
-1.174	1.0	0.0	0.0
-1.71	1.0	0.0	0.0
-1.4152	1.0	0.0	0.0
-1.6576	1.0	0.0	0.0
-0.4976	0.3333333333333333	0.16666666666666666	0.5
-0.6016	0.7777777777777778	0.05555555555555555	0.16666666666666666
-0.8828	1.0	0.0	0.0
-1.744	1.0	0.0	0.0
-0.2964	0.0	0.0	1.0
-0.2804	0.0	0.0	1.0
-0.4532	0.0	0.0	1.0
-1.2888	1.0	0.0	0.0
-0.9544	1.0	0.0	0.0
-1.238	1.0	0.0	0.0
-1.79	1.0	0.0	0.0
-1.7256	1.0	0.0	0.0
-0.244	0.0	0.0	1.0
-1.3576	1.0	0.0	0.0
-0.5812	0.5	0.0	0.5
-0.628	0.6428571428571429	0.07142857142857142	0.2857142857142857
-1.8588	1.0	0.0	0.0
-0.7056	1.0	0.0	0.0
-1.0252	1.0	0.0	0.0
-1.6764	1.0	0.0	0.0
-1.1624	1.0	0.0	0.0
-1.9112	1.0	0.0	0.0
-0.5132	0.375	0.0625	0.5625
-1.074	1.0	0.0	0.0
-0.4436	0.16666666666666666	0.0	0.8333333333333334
-0.91	1.0	0.0	0.0
-1.8696	1.0	0.0	0.0
-1.084	1.0	0.0	0.0
-0.4876	0.25	0.08333333333333333	0.6666666666666666
-1.8828	1.0	0.0	0.0
-0.9268	1.0	0.0	0.0
-1.3664	1.0	0.0	0.0
-1.9256	1.0	0.0	0.0
-0.3144	0.0	0.0	1.0
-0.7128	1.0	0.0	0.0
-0.7352	0.8571428571428571	0.0	0.14285714285714285
-1.374	1.0	0.0	0.0
-0.3796	0.0	0.0	1.0
-1.8704	1.0	0.0	0.0
-0.4588	0.15384615384615385	0.15384615384615385	0.6923076923076923
-0.6424	0.7692307692307693	0.07692307692307693	0.15384615384615385
-1.256	1.0	0.0	0.0
-1.4156	1.0	0.0	0.0
-1.4248	1.0	0.0	0.0
-1.198	1.0	0.0	0.0
-0.7912	1.0	0.0	0.0
-1.5248	1.0	0.0	0.0
-1.9736	1.0	0.0	0.0
-0.716	0.9230769230769231	0.0	0.07692307692307693
-0.3272	0.0	0.0	1.0
-0.3356	0.0	0.0	1.0
-1.6804	1.0	0.0	0.0
-1.6636	1.0	0.0	0.0
-1.9244	1.0	0.0	0.0
-0.8648	1.0	0.0	0.0
-0.4348	0.05	0.0	0.95
-1.7792	1.0	0.0	0.0
-0.632	0.7272727272727273	0.09090909090909091	0.18181818181818182
-1.786	1.0	0.0	0.0
-0.304	0.0	0.0	1.0
-1.6284	1.0	0.0	0.0
-1.2496	1.0	0.0	0.0
-1.2448	1.0	0.0	0.0
-0.3092	0.0	0.0	1.0
-1.2608	1.0	0.0	0.0
-0.6388	1.0	0.0	0.0
-1.7388	1.0	0.0	0.0
-1.6596	1.0	0.0	0.0
-0.89	1.0	0.0	0.0
-0.5568	0.9	0.0	0.1
-0.2328	0.0	0.0	1.0
-1.1572	1.0	0.0	0.0
-1.7172	1.0	0.0	0.0
-0.766	1.0	0.0	0.0
-1.0624	1.0	0.0	0.0
-1.9864	1.0	0.0	0.0
-1.1924	1.0	0.0	0.0
-1.4032	1.0	0.0	0.0
-1.298	1.0	0.0	0.0
-0.382	0.05	0.0	0.95
-1.254	1.0	0.0	0.0
-0.4	0.07692307692307693	0.0	0.9230769230769231
-1.26	1.0	0.0	0.0
-0.9412	1.0	0.0	0.0
-1.7636	1.0	0.0	0.0
-0.9796	1.0	0.0	0.0
-1.9716	1.0	0.0	0.0
-0.9484	1.0	0.0	0.0
-0.7196	1.0	0.0	0.0
-0.412	0.07142857142857142	0.0	0.9285714285714286
-0.2492	0.0	0.0	1.0
-1.7616	1.0	0.0	0.0
-0.4636	0.3333333333333333	0.06666666666666667	0.6
-1.2928	1.0	0.0	0.0
-0.3532	0.0	0.0	1.0
-1.3668	1.0	0.0	0.0
-0.414	0.0	0.125	0.875
-0.8308	1.0	0.0	0.0
-1.8388	1.0	0.0	0.0
-0.64	0.9090909090909091	0.0	0.09090909090909091
-1.382	1.0	0.0	0.0
-0.3436	0.0	0.0	1.0
-1.7376	1.0	0.0	0.0
-1.8296	1.0	0.0	0.0
-1.1304	1.0	0.0	0.0
-1.8744	1.0	0.0	0.0
-0.2056	0.0	0.0	1.0
-1.8248	1.0	0.0	0.0
-1.6416	1.0	0.0	0.0
-1.2076	1.0	0.0	0.0
-0.3068	0.0	0.0	1.0
-0.1284	0.0	0.0	1.0
-1.9288	1.0	0.0	0.0
-1.6268	1.0	0.0	0.0
-1.58	1.0	0.0	0.0
-0.4924	0.1111111111111111	0.1111111111111111	0.7777777777777778
-0.4756	0.2222222222222222	0.1111111111111111	0.6666666666666666
-0.2016	0.0	0.0	1.0
-1.2488	1.0	0.0	0.0
-1.242	1.0	0.0	0.0
-1.2384	1.0	0.0	0.0
-0.5664	0.7692307692307693	0.07692307692307693	0.15384615384615385
-1.7032	1.0	0.0	0.0
-0.5852	0.75	0.125	0.125
-1.4192	1.0	0.0	0.0
-1.9032	1.0	0.0	0.0
-1.1816	1.0	0.0	0.0
-1.8916	1.0	0.0	0.0
-0.1924	0.0	0.0	1.0
-0.6444	0.7857142857142857	0.0	0.21428571428571427
-1.3	1.0	0.0	0.0
-0.7456	1.0	0.0	0.0
-1.1308	1.0	0.0	0.0
-0.572	0.8333333333333334	0.0	0.16666666666666666
-1.2276	1.0	0.0	0.0
-1.624	1.0	0.0	0.0
-1.514	1.0	0.0	0.0
-0.6748	0.8888888888888888	0.0	0.1111111111111111
