Starting saddles simulation at 2025-05-25T03:38:06.537
Lattice size: 105
Beta values: [0.1, 0.10279944599549397, 0.10567726096980483, 0.10863563882017176, 0.11167683486080235, 0.11480316754220751, 0.1180170202186681, 0.1213208429651809, 0.12471715444526921, 0.12820854383108135, 0.1317976727772417, 0.13548727744995842, 0.13928017061293513, 0.14317924377167612, 0.14718746937782085, 0.15130790309518719, 0.15554368612925135, 0.15989804762184037, 0.16437430711286308, 0.16897587707095507, 0.17370626549496876, 0.1785690785882898, 0.18356802350802015, 0.1887069111911229, 0.19398965925968314, 0.19942029500750083, 0.20500295847029057, 0.21074190558183128, 0.21664151141846955, 0.22270627353445155, 0.22894081539062563, 0.23534988987912978, 0.2419383829467506, 0.24871131731971624, 0.25567385633276335, 0.26283130786539594, 0.2701891283883382, 0.27775292712326566, 0.2855284703189852, 0.2935216856473252, 0.3017386667220857, 0.3101856777444941, 0.3188691582787082, 0.3277957281610069, 0.3369721925464105, 0.3464055470965792, 0.3561029833129435, 0.36607189401913226, 0.3763198789968798, 0.3868547507797058, 0.39768454060878644, 0.4088175045555577, 0.4202621298157168, 0.4320271411794205, 0.4441215076826148, 0.4565544494445634, 0.46933544469678873, 0.48247423700878694, 0.49598084271601944, 0.5098655585558504, 0.5241389695172453, 0.5388119569102191, 0.553895706661185, 0.5694017178405246, 0.5853418114288852, 0.601728139328883, 0.6185731936290858, 0.6358898161273345, 0.6536912081206652, 0.6719909404692954, 0.6908029639423454, 0.710141619853183, 0.730021650992499, 0.7504582128674476, 0.7714668852554213, 0.7930636840812662, 0.815265073626996, 0.8380879790833082, 0.8615497994524721, 0.885668420812431, 0.9104622299522194, 0.9359501283891019, 0.9621515467781114, 0.9890864597249744, 1.0167754010137187, 1.045239479260565, 1.0745003940060471, 1.1045804522576164, 1.1355025854953513, 1.1672903671537318, 1.1999680305928035, 1.2335604875724422, 1.2680933472437848, 1.3035929356723266, 1.3400863159075478, 1.3776013086143843, 1.4161665132822627, 1.4558113300278694, 1.4965659820082826, 1.5384615384615383]
Copies: 600
Move type: l chain flip
----------------------------------
Finished copy 301 at 2025-05-25T03:39:22.448
Finished copy 1 at 2025-05-25T03:39:24.695
Finished copy 101 at 2025-05-25T03:40:03.233
Finished copy 501 at 2025-05-25T03:40:09.486
Finished copy 401 at 2025-05-25T03:40:19.790
Finished copy 201 at 2025-05-25T03:40:20.601
Finished copy 2 at 2025-05-25T03:40:24.725
Finished copy 302 at 2025-05-25T03:41:04.141
Finished copy 502 at 2025-05-25T03:41:23.515
Finished copy 402 at 2025-05-25T03:41:25.510
Finished copy 3 at 2025-05-25T03:41:48.376
Finished copy 102 at 2025-05-25T03:42:15.449
Finished copy 202 at 2025-05-25T03:42:18.671
Finished copy 503 at 2025-05-25T03:42:25.829
Finished copy 403 at 2025-05-25T03:42:26.092
Finished copy 303 at 2025-05-25T03:42:56.540
Finished copy 4 at 2025-05-25T03:43:08.661
Finished copy 404 at 2025-05-25T03:43:27.405
Finished copy 504 at 2025-05-25T03:43:45.807
Finished copy 203 at 2025-05-25T03:43:53.229
Finished copy 405 at 2025-05-25T03:44:35.991
Finished copy 5 at 2025-05-25T03:44:36.121
Finished copy 103 at 2025-05-25T03:44:49.890
Finished copy 204 at 2025-05-25T03:44:59.962
Finished copy 304 at 2025-05-25T03:45:04.335
Finished copy 406 at 2025-05-25T03:45:42.893
Finished copy 6 at 2025-05-25T03:45:54.577
Finished copy 205 at 2025-05-25T03:46:02.163
Finished copy 505 at 2025-05-25T03:46:22.285
Finished copy 305 at 2025-05-25T03:46:44.979
Finished copy 407 at 2025-05-25T03:46:49.335
Finished copy 7 at 2025-05-25T03:47:01.562
Finished copy 206 at 2025-05-25T03:47:18.884
Finished copy 104 at 2025-05-25T03:48:03.019
Finished copy 506 at 2025-05-25T03:48:29.815
Finished copy 8 at 2025-05-25T03:48:40.847
Finished copy 306 at 2025-05-25T03:48:55.370
Finished copy 207 at 2025-05-25T03:49:02.932
Finished copy 408 at 2025-05-25T03:49:16.705
Finished copy 507 at 2025-05-25T03:49:31.255
Finished copy 105 at 2025-05-25T03:50:31.214
Finished copy 307 at 2025-05-25T03:50:32.987
Finished copy 409 at 2025-05-25T03:50:34.494
Finished copy 508 at 2025-05-25T03:50:47.060
Finished copy 9 at 2025-05-25T03:50:51.207
Finished copy 208 at 2025-05-25T03:51:52.823
Finished copy 410 at 2025-05-25T03:52:03.093
Finished copy 10 at 2025-05-25T03:52:11.330
Finished copy 509 at 2025-05-25T03:52:12.985
Finished copy 308 at 2025-05-25T03:52:21.269
Finished copy 106 at 2025-05-25T03:52:45.966
Finished copy 11 at 2025-05-25T03:54:04.235
Finished copy 510 at 2025-05-25T03:54:08.903
Finished copy 209 at 2025-05-25T03:54:11.808
Finished copy 411 at 2025-05-25T03:54:22.245
Finished copy 309 at 2025-05-25T03:54:32.133
Finished copy 107 at 2025-05-25T03:54:56.812
Finished copy 12 at 2025-05-25T03:55:49.572
Finished copy 412 at 2025-05-25T03:55:57.059
Finished copy 210 at 2025-05-25T03:56:04.290
Finished copy 511 at 2025-05-25T03:56:14.201
Finished copy 310 at 2025-05-25T03:56:31.942
Finished copy 413 at 2025-05-25T03:56:58.233
Finished copy 512 at 2025-05-25T03:57:18.939
Finished copy 211 at 2025-05-25T03:57:39.735
Finished copy 13 at 2025-05-25T03:57:47.443
Finished copy 311 at 2025-05-25T03:58:17.272
Finished copy 414 at 2025-05-25T03:58:31.158
Finished copy 14 at 2025-05-25T03:59:11.955
Finished copy 513 at 2025-05-25T03:59:38.614
Finished copy 212 at 2025-05-25T04:00:18.538
Finished copy 415 at 2025-05-25T04:00:18.735
Finished copy 108 at 2025-05-25T04:00:31.864
Finished copy 15 at 2025-05-25T04:00:52.435
Finished copy 514 at 2025-05-25T04:01:03.304
Finished copy 312 at 2025-05-25T04:01:50.937
Finished copy 213 at 2025-05-25T04:02:08.136
Finished copy 416 at 2025-05-25T04:02:16.231
Finished copy 16 at 2025-05-25T04:02:33.034
Finished copy 515 at 2025-05-25T04:02:36.384
Finished copy 516 at 2025-05-25T04:03:44.751
Finished copy 313 at 2025-05-25T04:03:45.571
Finished copy 214 at 2025-05-25T04:03:45.980
Finished copy 417 at 2025-05-25T04:04:10.436
Finished copy 17 at 2025-05-25T04:04:55.655
Finished copy 517 at 2025-05-25T04:04:56.346
Finished copy 109 at 2025-05-25T04:05:07.439
Finished copy 215 at 2025-05-25T04:05:39.773
Finished copy 518 at 2025-05-25T04:06:01.213
Finished copy 314 at 2025-05-25T04:06:07.918
Finished copy 418 at 2025-05-25T04:06:10.681
Finished copy 216 at 2025-05-25T04:06:54.347
Finished copy 18 at 2025-05-25T04:07:09.021
Finished copy 519 at 2025-05-25T04:07:22.281
Finished copy 110 at 2025-05-25T04:07:28.830
Finished copy 419 at 2025-05-25T04:07:39.199
Finished copy 315 at 2025-05-25T04:07:50.365
Finished copy 520 at 2025-05-25T04:08:28.996
Finished copy 217 at 2025-05-25T04:08:30.351
Finished copy 19 at 2025-05-25T04:09:24.568
Finished copy 420 at 2025-05-25T04:09:27.017
Finished copy 316 at 2025-05-25T04:09:45.119
Finished copy 521 at 2025-05-25T04:09:52.926
Finished copy 111 at 2025-05-25T04:10:02.345
Finished copy 218 at 2025-05-25T04:10:41.295
Finished copy 421 at 2025-05-25T04:11:30.128
Finished copy 522 at 2025-05-25T04:11:36.917
Finished copy 317 at 2025-05-25T04:11:59.924
Finished copy 219 at 2025-05-25T04:12:23.090
Finished copy 20 at 2025-05-25T04:12:26.836
Finished copy 112 at 2025-05-25T04:13:31.847
Finished copy 21 at 2025-05-25T04:13:36.444
Finished copy 523 at 2025-05-25T04:13:44.008
Finished copy 318 at 2025-05-25T04:13:53.317
Finished copy 220 at 2025-05-25T04:14:03.317
Finished copy 422 at 2025-05-25T04:14:15.372
Finished copy 22 at 2025-05-25T04:14:58.876
Finished copy 319 at 2025-05-25T04:15:47.544
Finished copy 524 at 2025-05-25T04:15:54.719
Finished copy 113 at 2025-05-25T04:15:55.040
Finished copy 423 at 2025-05-25T04:15:56.490
Finished copy 23 at 2025-05-25T04:17:00.143
Finished copy 221 at 2025-05-25T04:17:17.078
Finished copy 525 at 2025-05-25T04:17:45.554
Finished copy 424 at 2025-05-25T04:17:56.352
Finished copy 24 at 2025-05-25T04:18:21.184
Finished copy 114 at 2025-05-25T04:18:30.832
Finished copy 320 at 2025-05-25T04:18:39.199
Finished copy 526 at 2025-05-25T04:19:03.418
Finished copy 425 at 2025-05-25T04:19:18.220
Finished copy 222 at 2025-05-25T04:19:36.388
Finished copy 25 at 2025-05-25T04:19:37.907
Finished copy 426 at 2025-05-25T04:20:32.143
Finished copy 321 at 2025-05-25T04:20:35.200
Finished copy 115 at 2025-05-25T04:20:52.473
Finished copy 527 at 2025-05-25T04:21:00.481
Finished copy 26 at 2025-05-25T04:21:05.889
Finished copy 223 at 2025-05-25T04:21:24.294
Finished copy 427 at 2025-05-25T04:22:08.010
Finished copy 528 at 2025-05-25T04:22:24.172
Finished copy 322 at 2025-05-25T04:22:27.901
Finished copy 116 at 2025-05-25T04:23:18.284
Finished copy 224 at 2025-05-25T04:23:28.453
Finished copy 27 at 2025-05-25T04:23:47.198
Finished copy 323 at 2025-05-25T04:24:48.242
Finished copy 428 at 2025-05-25T04:24:57.986
Finished copy 529 at 2025-05-25T04:25:29.035
Finished copy 117 at 2025-05-25T04:25:37.499
Finished copy 225 at 2025-05-25T04:25:52.823
Finished copy 28 at 2025-05-25T04:26:10.705
Finished copy 429 at 2025-05-25T04:26:52.267
Finished copy 530 at 2025-05-25T04:26:56.535
Finished copy 324 at 2025-05-25T04:27:11.630
Finished copy 29 at 2025-05-25T04:27:50.973
Finished copy 531 at 2025-05-25T04:28:09.672
Finished copy 118 at 2025-05-25T04:28:22.386
Finished copy 226 at 2025-05-25T04:28:30.491
Finished copy 430 at 2025-05-25T04:28:49.105
Finished copy 30 at 2025-05-25T04:29:12.011
Finished copy 532 at 2025-05-25T04:29:22.012
Finished copy 325 at 2025-05-25T04:29:30.428
Finished copy 31 at 2025-05-25T04:30:22.570
Finished copy 431 at 2025-05-25T04:30:41.239
Finished copy 119 at 2025-05-25T04:30:48.613
Finished copy 533 at 2025-05-25T04:30:50.960
Finished copy 227 at 2025-05-25T04:30:54.632
Finished copy 326 at 2025-05-25T04:31:34.334
Finished copy 534 at 2025-05-25T04:32:24.436
Finished copy 32 at 2025-05-25T04:32:37.863
Finished copy 228 at 2025-05-25T04:32:50.329
Finished copy 120 at 2025-05-25T04:33:47.645
Finished copy 33 at 2025-05-25T04:33:48.961
Finished copy 327 at 2025-05-25T04:34:08.162
Finished copy 535 at 2025-05-25T04:34:26.343
Finished copy 432 at 2025-05-25T04:34:42.294
Finished copy 229 at 2025-05-25T04:35:47.788
