Energy	p(K=0)	p(K=1)	p(K>=2)
0.023668639053254437	0.0	0.0	1.0
-0.08284023668639054	0.0	0.0	1.0
-0.9171597633136095	0.0	0.0	1.0
-1.9349112426035502	0.0	0.0	1.0
-0.7514792899408284	0.0	0.0	1.0
-1.4378698224852071	0.0	0.0	1.0
-1.9112426035502958	0.0	0.0	1.0
-1.242603550295858	0.0	0.0	1.0
-0.7633136094674556	0.0	0.0	1.0
-0.6686390532544378	0.0	0.0	1.0
-1.0710059171597632	0.0	0.0	1.0
-0.8698224852071006	0.0	0.0	1.0
-0.33727810650887574	0.0	0.0	1.0
-1.6094674556213018	0.0	0.0	1.0
-1.6331360946745561	0.0	0.0	1.0
-1.1715976331360947	0.0	0.0	1.0
-0.9053254437869822	0.0	0.0	1.0
-1.9053254437869822	0.0	0.0	1.0
-1.1952662721893492	0.0	0.0	1.0
-1.0887573964497042	0.0	0.0	1.0
-0.621301775147929	0.0	0.0	1.0
-0.46745562130177515	0.0	0.0	1.0
-0.8875739644970414	0.0	0.0	1.0
-0.834319526627219	0.0	0.0	1.0
-0.8284023668639053	0.0	0.0	1.0
-1.8224852071005917	0.0	0.0	1.0
-1.650887573964497	0.0	0.0	1.0
-2.0	1.0	0.0	0.0
-0.9408284023668639	0.0	0.0	1.0
-1.757396449704142	0.0	0.0	1.0
-1.5088757396449703	0.0	0.0	1.0
-1.4319526627218935	0.0	0.0	1.0
-1.7928994082840237	0.0	0.0	1.0
-0.34911242603550297	0.0	0.0	1.0
-1.272189349112426	0.0	0.0	1.0
-0.9230769230769231	0.0	0.0	1.0
-0.5798816568047337	0.0	0.0	1.0
-0.8579881656804734	0.0	0.0	1.0
-1.2899408284023668	0.0	0.0	1.0
-0.7455621301775148	0.0	0.0	1.0
-1.544378698224852	0.0	0.0	1.0
-1.1242603550295858	0.0	0.0	1.0
-0.7692307692307693	0.0	0.0	1.0
-1.8757396449704142	0.0	0.0	1.0
-1.5739644970414202	0.0	0.0	1.0
-1.9763313609467457	0.002840909090909091	0.0	0.9971590909090909
-0.17159763313609466	0.0	0.0	1.0
-1.621301775147929	0.0	0.0	1.0
-0.35502958579881655	0.0	0.0	1.0
-1.9644970414201184	0.0	0.008225616921269096	0.9917743830787309
-1.3136094674556213	0.0	0.0	1.0
-0.1893491124260355	0.0	0.0	1.0
-1.136094674556213	0.0	0.0	1.0
-0.8224852071005917	0.0	0.0	1.0
-1.8284023668639053	0.0	0.0	1.0
-1.0828402366863905	0.0	0.0	1.0
-1.6863905325443787	0.0	0.0	1.0
-1.4023668639053255	0.0	0.0	1.0
-0.9467455621301775	0.0	0.0	1.0
-0.757396449704142	0.0	0.0	1.0
-1.3668639053254439	0.0	0.0	1.0
-1.5384615384615385	0.0	0.0	1.0
-1.6272189349112427	0.0	0.0	1.0
-0.8047337278106509	0.0	0.0	1.0
-0.2781065088757396	0.0	0.0	1.0
-1.893491124260355	0.0	0.0	1.0
-1.514792899408284	0.0	0.0	1.0
-0.5088757396449705	0.0	0.0	1.0
-0.13609467455621302	0.0	0.0	1.0
-0.514792899408284	0.0	0.0	1.0
-1.1775147928994083	0.0	0.0	1.0
-0.22485207100591717	0.0	0.0	1.0
-1.8579881656804733	0.0	0.0	1.0
-0.09467455621301775	0.0	0.0	1.0
-1.3550295857988166	0.0	0.0	1.0
-1.2662721893491125	0.0	0.0	1.0
-0.5207100591715976	0.0	0.0	1.0
-1.5680473372781065	0.0	0.0	1.0
-1.1538461538461537	0.0	0.0	1.0
-0.1834319526627219	0.0	0.0	1.0
-0.5029585798816568	0.0	0.0	1.0
-0.6863905325443787	0.0	0.0	1.0
-0.3727810650887574	0.0	0.0	1.0
-1.9171597633136095	0.0	0.0	1.0
-1.5857988165680474	0.0	0.0	1.0
-0.2485207100591716	0.0	0.0	1.0
-0.0650887573964497	0.0	0.0	1.0
-0.40828402366863903	0.0	0.0	1.0
-0.48520710059171596	0.0	0.0	1.0
-0.7869822485207101	0.0	0.0	1.0
-1.029585798816568	0.0	0.0	1.0
-0.893491124260355	0.0	0.0	1.0
-0.6272189349112426	0.0	0.0	1.0
-0.30177514792899407	0.0	0.0	1.0
-0.03550295857988166	0.0	0.0	1.0
-0.17751479289940827	0.0	0.0	1.0
-0.7337278106508875	0.0	0.0	1.0
-1.165680473372781	0.0	0.0	1.0
-1.698224852071006	0.0	0.0	1.0
-1.8698224852071006	0.0	0.0	1.0
-0.5739644970414202	0.0	0.0	1.0
-0.5325443786982249	0.0	0.0	1.0
-1.3372781065088757	0.0	0.0	1.0
-0.3431952662721893	0.0	0.0	1.0
-1.0591715976331362	0.0	0.0	1.0
-1.982248520710059	0.0	0.0	1.0
-0.5562130177514792	0.0	0.0	1.0
-0.3609467455621302	0.0	0.0	1.0
-0.8106508875739645	0.0	0.0	1.0
-0.9349112426035503	0.0	0.0	1.0
-0.47337278106508873	0.0	0.0	1.0
-1.8461538461538463	0.0	0.0	1.0
-0.24260355029585798	0.0	0.0	1.0
