Starting saddles simulation at 2025-05-25T01:58:43.319
Lattice size: 41
Beta values: [0.1, 0.10279944599549397, 0.10567726096980483, 0.10863563882017176, 0.11167683486080235, 0.11480316754220751, 0.1180170202186681, 0.1213208429651809, 0.12471715444526921, 0.12820854383108135, 0.1317976727772417, 0.13548727744995842, 0.13928017061293513, 0.14317924377167612, 0.14718746937782085, 0.15130790309518719, 0.15554368612925135, 0.15989804762184037, 0.16437430711286308, 0.16897587707095507, 0.17370626549496876, 0.1785690785882898, 0.18356802350802015, 0.1887069111911229, 0.19398965925968314, 0.19942029500750083, 0.20500295847029057, 0.21074190558183128, 0.21664151141846955, 0.22270627353445155, 0.22894081539062563, 0.23534988987912978, 0.2419383829467506, 0.24871131731971624, 0.25567385633276335, 0.26283130786539594, 0.2701891283883382, 0.27775292712326566, 0.2855284703189852, 0.2935216856473252, 0.3017386667220857, 0.3101856777444941, 0.3188691582787082, 0.3277957281610069, 0.3369721925464105, 0.3464055470965792, 0.3561029833129435, 0.36607189401913226, 0.3763198789968798, 0.3868547507797058, 0.39768454060878644, 0.4088175045555577, 0.4202621298157168, 0.4320271411794205, 0.4441215076826148, 0.4565544494445634, 0.46933544469678873, 0.48247423700878694, 0.49598084271601944, 0.5098655585558504, 0.5241389695172453, 0.5388119569102191, 0.553895706661185, 0.5694017178405246, 0.5853418114288852, 0.601728139328883, 0.6185731936290858, 0.6358898161273345, 0.6536912081206652, 0.6719909404692954, 0.6908029639423454, 0.710141619853183, 0.730021650992499, 0.7504582128674476, 0.7714668852554213, 0.7930636840812662, 0.815265073626996, 0.8380879790833082, 0.8615497994524721, 0.885668420812431, 0.9104622299522194, 0.9359501283891019, 0.9621515467781114, 0.9890864597249744, 1.0167754010137187, 1.045239479260565, 1.0745003940060471, 1.1045804522576164, 1.1355025854953513, 1.1672903671537318, 1.1999680305928035, 1.2335604875724422, 1.2680933472437848, 1.3035929356723266, 1.3400863159075478, 1.3776013086143843, 1.4161665132822627, 1.4558113300278694, 1.4965659820082826, 1.5384615384615383]
Copies: 600
Move type: l chain flip
----------------------------------
Finished copy 151 at 2025-05-25T01:58:55.158
Finished copy 451 at 2025-05-25T01:58:55.496
Finished copy 301 at 2025-05-25T01:58:55.510
Finished copy 1 at 2025-05-25T01:58:58.134
Finished copy 152 at 2025-05-25T01:59:06.853
Finished copy 452 at 2025-05-25T01:59:07.220
Finished copy 302 at 2025-05-25T01:59:08.700
Finished copy 2 at 2025-05-25T01:59:12.608
Finished copy 453 at 2025-05-25T01:59:19.532
Finished copy 153 at 2025-05-25T01:59:19.629
Finished copy 303 at 2025-05-25T01:59:22.275
Finished copy 3 at 2025-05-25T01:59:26.540
Finished copy 454 at 2025-05-25T01:59:31.641
Finished copy 154 at 2025-05-25T01:59:31.780
Finished copy 304 at 2025-05-25T01:59:34.802
Finished copy 4 at 2025-05-25T01:59:41.523
Finished copy 455 at 2025-05-25T01:59:43.494
Finished copy 155 at 2025-05-25T01:59:43.821
Finished copy 305 at 2025-05-25T01:59:47.647
Finished copy 156 at 2025-05-25T01:59:55.361
Finished copy 5 at 2025-05-25T01:59:55.597
Finished copy 456 at 2025-05-25T01:59:55.606
Finished copy 306 at 2025-05-25T02:00:01.013
Finished copy 157 at 2025-05-25T02:00:08.951
Finished copy 6 at 2025-05-25T02:00:11.265
Finished copy 457 at 2025-05-25T02:00:11.578
Finished copy 307 at 2025-05-25T02:00:13.948
Finished copy 158 at 2025-05-25T02:00:20.837
Finished copy 458 at 2025-05-25T02:00:23.337
Finished copy 7 at 2025-05-25T02:00:25.594
Finished copy 308 at 2025-05-25T02:00:28.114
Finished copy 459 at 2025-05-25T02:00:34.897
Finished copy 159 at 2025-05-25T02:00:35.593
Finished copy 8 at 2025-05-25T02:00:40.212
Finished copy 309 at 2025-05-25T02:00:41.013
Finished copy 160 at 2025-05-25T02:00:47.796
Finished copy 460 at 2025-05-25T02:00:47.997
Finished copy 310 at 2025-05-25T02:00:53.445
Finished copy 9 at 2025-05-25T02:00:53.744
Finished copy 161 at 2025-05-25T02:01:00.306
Finished copy 461 at 2025-05-25T02:01:02.089
Finished copy 311 at 2025-05-25T02:01:05.155
Finished copy 10 at 2025-05-25T02:01:07.320
Finished copy 162 at 2025-05-25T02:01:11.455
Finished copy 462 at 2025-05-25T02:01:14.358
Finished copy 312 at 2025-05-25T02:01:17.012
Finished copy 11 at 2025-05-25T02:01:20.304
Finished copy 163 at 2025-05-25T02:01:23.662
Finished copy 463 at 2025-05-25T02:01:26.367
Finished copy 313 at 2025-05-25T02:01:30.553
Finished copy 12 at 2025-05-25T02:01:35.886
Finished copy 164 at 2025-05-25T02:01:36.304
Finished copy 464 at 2025-05-25T02:01:39.290
Finished copy 314 at 2025-05-25T02:01:42.510
Finished copy 165 at 2025-05-25T02:01:48.310
Finished copy 13 at 2025-05-25T02:01:50.693
Finished copy 465 at 2025-05-25T02:01:53.895
Finished copy 315 at 2025-05-25T02:01:55.802
Finished copy 166 at 2025-05-25T02:01:59.963
Finished copy 14 at 2025-05-25T02:02:04.177
Finished copy 466 at 2025-05-25T02:02:05.651
Finished copy 316 at 2025-05-25T02:02:08.236
Finished copy 167 at 2025-05-25T02:02:14.446
Finished copy 467 at 2025-05-25T02:02:17.398
Finished copy 15 at 2025-05-25T02:02:17.840
Finished copy 468 at 2025-05-25T02:02:28.873
Finished copy 317 at 2025-05-25T02:02:29.061
Finished copy 168 at 2025-05-25T02:02:31.148
Finished copy 16 at 2025-05-25T02:02:32.922
Finished copy 318 at 2025-05-25T02:02:40.414
Finished copy 469 at 2025-05-25T02:02:42.347
Finished copy 169 at 2025-05-25T02:02:43.200
Finished copy 17 at 2025-05-25T02:02:48.606
Finished copy 319 at 2025-05-25T02:02:52.464
Finished copy 470 at 2025-05-25T02:02:53.940
Finished copy 170 at 2025-05-25T02:02:54.974
Finished copy 18 at 2025-05-25T02:03:02.397
Finished copy 320 at 2025-05-25T02:03:03.221
Finished copy 471 at 2025-05-25T02:03:05.391
Finished copy 171 at 2025-05-25T02:03:07.180
Finished copy 321 at 2025-05-25T02:03:16.547
Finished copy 19 at 2025-05-25T02:03:17.215
Finished copy 472 at 2025-05-25T02:03:17.933
Finished copy 172 at 2025-05-25T02:03:20.258
Finished copy 322 at 2025-05-25T02:03:29.127
Finished copy 473 at 2025-05-25T02:03:30.021
Finished copy 20 at 2025-05-25T02:03:31.524
Finished copy 173 at 2025-05-25T02:03:33.173
Finished copy 474 at 2025-05-25T02:03:41.615
Finished copy 323 at 2025-05-25T02:03:41.899
Finished copy 174 at 2025-05-25T02:03:45.530
Finished copy 21 at 2025-05-25T02:03:46.387
Finished copy 475 at 2025-05-25T02:03:53.518
Finished copy 324 at 2025-05-25T02:03:54.292
Finished copy 175 at 2025-05-25T02:03:57.141
Finished copy 22 at 2025-05-25T02:04:01.100
Finished copy 476 at 2025-05-25T02:04:05.029
Finished copy 325 at 2025-05-25T02:04:06.235
Finished copy 176 at 2025-05-25T02:04:08.794
Finished copy 477 at 2025-05-25T02:04:16.523
Finished copy 23 at 2025-05-25T02:04:18.353
Finished copy 177 at 2025-05-25T02:04:19.854
Finished copy 326 at 2025-05-25T02:04:20.400
Finished copy 478 at 2025-05-25T02:04:30.456
Finished copy 178 at 2025-05-25T02:04:31.828
Finished copy 327 at 2025-05-25T02:04:32.244
Finished copy 24 at 2025-05-25T02:04:32.661
Finished copy 479 at 2025-05-25T02:04:42.646
Finished copy 179 at 2025-05-25T02:04:43.946
Finished copy 328 at 2025-05-25T02:04:45.401
Finished copy 25 at 2025-05-25T02:04:46.830
Finished copy 480 at 2025-05-25T02:04:54.743
Finished copy 180 at 2025-05-25T02:04:56.597
Finished copy 329 at 2025-05-25T02:04:56.705
Finished copy 26 at 2025-05-25T02:05:01.627
Finished copy 481 at 2025-05-25T02:05:07.020
Finished copy 330 at 2025-05-25T02:05:07.753
Finished copy 181 at 2025-05-25T02:05:09.089
Finished copy 27 at 2025-05-25T02:05:15.493
Finished copy 482 at 2025-05-25T02:05:18.808
Finished copy 331 at 2025-05-25T02:05:19.847
Finished copy 182 at 2025-05-25T02:05:21.340
Finished copy 28 at 2025-05-25T02:05:29.042
Finished copy 332 at 2025-05-25T02:05:31.524
Finished copy 183 at 2025-05-25T02:05:34.810
Finished copy 483 at 2025-05-25T02:05:35.770
Finished copy 333 at 2025-05-25T02:05:43.665
Finished copy 29 at 2025-05-25T02:05:44.176
Finished copy 184 at 2025-05-25T02:05:46.441
Finished copy 484 at 2025-05-25T02:05:48.347
Finished copy 334 at 2025-05-25T02:05:57.306
Finished copy 30 at 2025-05-25T02:05:58.179
Finished copy 185 at 2025-05-25T02:05:59.507
Finished copy 485 at 2025-05-25T02:06:00.493
Finished copy 335 at 2025-05-25T02:06:09.181
Finished copy 31 at 2025-05-25T02:06:11.876
Finished copy 486 at 2025-05-25T02:06:12.457
Finished copy 186 at 2025-05-25T02:06:13.271
Finished copy 336 at 2025-05-25T02:06:21.442
Finished copy 187 at 2025-05-25T02:06:24.517
Finished copy 487 at 2025-05-25T02:06:24.925
Finished copy 32 at 2025-05-25T02:06:26.062
Finished copy 337 at 2025-05-25T02:06:33.627
Finished copy 188 at 2025-05-25T02:06:37.279
Finished copy 488 at 2025-05-25T02:06:37.510
Finished copy 33 at 2025-05-25T02:06:40.408
Finished copy 338 at 2025-05-25T02:06:45.814
Finished copy 489 at 2025-05-25T02:06:48.880
Finished copy 189 at 2025-05-25T02:06:51.009
Finished copy 34 at 2025-05-25T02:06:54.178
Finished copy 339 at 2025-05-25T02:06:58.952
Finished copy 490 at 2025-05-25T02:07:01.354
Finished copy 190 at 2025-05-25T02:07:06.606
Finished copy 35 at 2025-05-25T02:07:07.745
Finished copy 340 at 2025-05-25T02:07:11.021
Finished copy 491 at 2025-05-25T02:07:13.618
Finished copy 191 at 2025-05-25T02:07:18.552
Finished copy 36 at 2025-05-25T02:07:22.027
Finished copy 341 at 2025-05-25T02:07:22.226
Finished copy 492 at 2025-05-25T02:07:26.026
